"Time","T0104","","T0104","","T0104","","T0104","","T0104","","T0104","","T0104",""
"and","10.00","","400.00","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)","","Umidita' aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/10/2009,         6.4,      1,         8.6,      1,        92.4,      1,"",    151,"",    151,"",    255,"",    255,Sites:
00:00:00 02/10/2009,         1.0,      1,         7.0,      1,        76.1,      1,"",    151,"",    151,"",    255,"",    255,T0104 - Passo Valles Lat:46.33839 Long:11.799791 Elev:2032
00:00:00 03/10/2009,         0.0,      1,         5.4,      1,        80.5,      1,"",    151,"",    151,"",    255,"",    255,
00:00:00 04/10/2009,         0.0,      1,         7.4,      1,        79.9,      1,"",    151,"",    151,"",    255,"",    255,Variables:
00:00:00 05/10/2009,         0.0,      1,         6.6,      1,        93.6,      1,"",    151,"",    151,"",    255,"",    255,10 - Pioggia (millimetri)
00:00:00 06/10/2009,         0.0,      1,         9.4,      1,        87.9,      1,"",    151,"",    151,"",    255,"",    255,400 - Temperatura aria (gradi Celsius)
00:00:00 07/10/2009,         0.0,      1,        10.7,      1,        81.2,      1,"",    151,"",    151,"",    255,"",    255,430 - Umidita' aria (percentuale)
00:00:00 08/10/2009,         0.0,      1,         9.6,      1,        90.8,      1,"",    151,"",    151,"",    255,"",    255,500 - Direzione vento media (gradi)
00:00:00 09/10/2009,         2.0,      1,         7.5,      1,        97.5,      1,"",    151,"",    151,"",    255,"",    255,515 - Velocita' vento media (metri/secondo)
00:00:00 10/10/2009,         9.2,      1,         6.6,      1,        98.2,      1,"",    151,"",    151,"",    255,"",    255,550 - Pressione atmosferica (Ettopascal)
00:00:00 11/10/2009,         0.0,      1,         5.7,      1,        71.6,      1,"",    151,"",    151,"",    255,"",    255,750 - Radiazione solare totale (KJoule/metroquadro)
00:00:00 12/10/2009,         3.2,      1,         1.4,      1,        69.1,      1,"",    151,"",    151,"",    255,"",    255,
00:00:00 13/10/2009,         0.4,      1,        -1.9,      1,        45.7,      1,"",    151,"",    151,"",    255,"",    255,Qualities:
00:00:00 14/10/2009,         0.0,      1,        -5.1,      1,        45.9,      1,"",    151,"",    151,"",    255,"",    255,1 - Dato buono
00:00:00 15/10/2009,         0.0,      1,        -5.5,      1,        54.0,      1,"",    151,"",    151,"",    255,"",    255,90 - Neve (ritardato)
00:00:00 16/10/2009,         0.0,      1,        -2.3,      1,        58.7,      1,"",    151,"",    151,"",    255,"",    255,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 17/10/2009,         0.0,      1,        -3.1,      1,        60.4,      1,"",    151,"",    151,"",    255,"",    255,"145 - da teletrasmissione, non validato"
00:00:00 18/10/2009,         0.0,      1,        -4.6,      1,        62.8,      1,"",    151,"",    151,"",    255,"",    255,151 - Dato mancante
00:00:00 19/10/2009,         0.0,      1,        -4.3,      1,        63.4,      1,"",    151,"",    151,"",    255,"",    255,255 - No data
00:00:00 20/10/2009,         0.0,      1,        -3.4,      1,        85.9,      1,"",    151,"",    151,"",    255,"",    255
