"","MONTH","MIN","MAX","MEAN","SD","nr_obs"
"1","jan",22.9,100,76.7452956989247,21.1566115440422,744
"2","feb",16.3,99.8,85.6779761904762,16.8425572522482,672
"3","mar",33.9,100,89.0448924731183,13.2263278262599,744
"4","apr",6.1,100,77.5009722222222,22.5556455875524,720
"5","maj",63.9,100,93.5447580645161,7.21872654018565,744
"6","jun",36.1,100,80.34875,13.9770116684793,720
"7","jul",30.1,100,79.3697580645161,14.9056218700544,744
"8","aug",46,100,85.5076612903226,10.3845058986912,744
"9","sep",24.3,100,84.0425847457627,16.6059599746808,472
"10","oct",Inf,-Inf,NA,NA,0
"11","nov",16.4,100,72.4277777777778,24.822723296504,252
"12","dec",13.9,100,73.8844086021505,25.7283724889154,744
