"","MONTH","MIN","MAX","MEAN","SD","nr_obs"
"1","jan",-14.6,5.1,-5.78010752688172,3.84631854388673,744
"2","feb",-24.4,1.6,-10.799255952381,5.28272352588447,672
"3","mar",-17.1,0.1,-6.50336021505376,2.92339650160598,744
"4","apr",-10.8,11.4,0.748055555555556,4.27970552549451,720
"5","maj",-4.1,10.9,2.62567204301075,2.88859540209599,744
"6","jun",0.2,16.3,6.75180555555556,2.72024748648535,720
"7","jul",3.9,18.3,9.10067204301075,2.85562175205663,744
"8","aug",-2.3,16.6,9.1364247311828,2.98558738250166,744
"9","sep",1.3,15.6,7.09279661016949,2.79929302132996,472
"10","oct",Inf,-Inf,NA,NA,0
"11","nov",-15.2,5,-5.31746031746032,5.41823068936714,252
"12","dec",-17.2,5.8,-7.93333333333333,5.19213264120248,744
