"","MONTH","MIN","MAX","MEAN","SD","nr_obs"
"1","jan",99,2226,1137.52553763441,505.854257301043,744
"2","feb",41,1571,655.903273809524,336.828737903687,672
"3","mar",25,1120,518.924731182796,299.290537922773,744
"4","apr",232,2340,1439.06388888889,416.330591501732,720
"5","maj",1,2097,1509.88978494624,350.289414973894,744
"6","jun",1,2172,1662.89861111111,272.206329740475,720
"7","jul",1,2403,1853.35349462366,231.959114925869,744
"8","aug",994,2432,2086.33333333333,299.641017460891,744
"9","sep",1309,2473,2063.4343220339,311.785802010644,472
"10","oct",Inf,-Inf,NA,NA,0
"11","nov",105,1564,1052.32142857143,413.519492135063,252
"12","dec",2,2095,1041.75537634409,615.773611497834,744
