"","MONTH","MIN","MAX","MEAN","SD","nr_obs"
"1","jan",0,20.4,4.91424731182796,3.33636696425636,744
"2","feb",0,7.5,2.48244047619048,1.8239476673748,672
"3","mar",0,9.2,2.62943548387097,1.94882211134656,744
"4","apr",0,11.3,2.80652777777778,1.92810965509345,720
"5","maj",0.1,10,2.12930107526882,1.53171990372628,744
"6","jun",0.1,8.7,2.31305555555556,1.45303733380538,720
"7","jul",0.1,12.2,2.43440860215054,1.72749873241766,744
"8","aug",0,9.4,1.81155913978495,1.15292395056999,744
"9","sep",0,5,1.81525423728814,1.11820504625034,472
"10","oct",Inf,-Inf,NA,NA,0
"11","nov",0.1,10.8,3.91309523809524,2.42142395440972,252
"12","dec",0,18.8,4.59005376344086,3.02570557221898,744
